tab 	locations																																
age_unit	analysts	citations	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	age_high	age_low																					
	This study		1.2	328.2	32.9	SS20-3a_LP-DIR-T	hargrave 2016-03-28 09:40:12	8.49E-08	9.67E-09	2.27E-08	1.06E-08	8	273	SS20-3a_LP-DIR-T-58	LT-T-Z:LP-DIR-T	g	58	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	14	803							
	This study		1	333.9	33.3	SS20-3a_LP-DIR-T	hargrave 2016-03-28 19:02:23	5.86E-08	8.95E-09	1.22E-08	7.33E-09	8	273	SS20-3a_LP-DIR-T-59	LT-T-Z:LP-DIR-T	g	59	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	15	813							
	This study		2	327	41.7	SS20-3a_LP-DIR-T	hargrave 2016-03-29 16:05:14	3.40E-08	5.81E-09	1.72E-08	4.77E-09	8	273	SS20-3a_LP-DIR-T-60	LT-T-Z:LP-DIR-T	g	6	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	16	823							
	This study		1.7	328.6	43.3	SS20-3a_LP-DIR-T	hargrave 2016-03-30 13:21:53	2.09E-08	7.73E-09	4.19E-09	3.53E-09	8	273	SS20-3a_LP-DIR-T-61	LT-T-Z:LP-DIR-T	g	61	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	17	833							
	This study		2.8	334.6	32.1	SS20-3a_LP-DIR-T	hargrave 2016-04-04 14:58:56	1.44E-08	3.02E-09	9.47E-09	3.57E-09	8	273	SS20-3a_LP-DIR-T-62	LT-T-Z:LP-DIR-T	g	62	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	18	843							
	This study		4.3	359.7	12.8	SS20-3a_LP-DIR-T	hargrave 2016-04-05 12:22:27	1.10E-08	1.21E-09	1.18E-08	1.62E-09	8	273	SS20-3a_LP-DIR-T-63	LT-T-Z:LP-DIR-T	g	63	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	19	848							
	This study		4.9	346.4	33.6	SS20-3a_LP-DIR-T	hargrave 2016-04-05 20:00:25	8.23E-09	4.18E-09	9.51E-09	2.66E-09	8	273	SS20-3a_LP-DIR-T-64	LT-T-Z:LP-DIR-T	g	64	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	2	853							
	This study		2.7	262.4	48	SS20-4a_LP-DIR-T	hargrave 2016-02-18 11:31:37	3.17E-07	2.42E-07	7.95E-08	7.03E-08	8	273	SS20-4a_LP-DIR-T-65	LT-NO:LP-DIR-T	g	65	pmagpy-4.2.109	SS20-4a	u	0	0	0	0		273							
	This study		2.6	262.9	39.7	SS20-4a_LP-DIR-T	hargrave 2016-02-21 12:33:05	2.96E-07	2.21E-07	6.50E-08	6.96E-08	8	273	SS20-4a_LP-DIR-T-66	LT-LT-Z:LP-DIR-T	g	66	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	1	77							
	This study		3.5	259.5	35.3	SS20-4a_LP-DIR-T	hargrave 2016-02-22 19:49:58	2.68E-07	2.79E-07	5.34E-08	4.52E-08	8	273	SS20-4a_LP-DIR-T-67	LT-T-Z:LP-DIR-T	g	67	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	2	373							
	This study		2.5	260.3	26	SS20-4a_LP-DIR-T	hargrave 2016-02-23 19:37:14	2.23E-07	1.67E-07	4.36E-08	3.25E-08	8	273	SS20-4a_LP-DIR-T-68	LT-T-Z:LP-DIR-T	g	68	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	3	473							
	This study		2.4	256.3	21.7	SS20-4a_LP-DIR-T	hargrave 2016-02-27 17:46:16	2.07E-07	1.39E-07	4.72E-08	3.03E-08	8	273	SS20-4a_LP-DIR-T-69	LT-T-Z:LP-DIR-T	g	69	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	4	573							
	This study		2.3	259.8	20.3	SS20-4a_LP-DIR-T	hargrave 2016-02-29 19:15:40	2.02E-07	1.38E-07	2.51E-08	3.57E-08	8	273	SS20-4a_LP-DIR-T-70	LT-T-Z:LP-DIR-T	g	7	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	5	598							
	This study		2.1	256.7	19.9	SS20-4a_LP-DIR-T	hargrave 2016-03-01 17:44:57	1.90E-07	1.14E-07	3.04E-08	3.00E-08	8	273	SS20-4a_LP-DIR-T-71	LT-T-Z:LP-DIR-T	g	71	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	6	623							
	This study		1.8	259.8	20.1	SS20-4a_LP-DIR-T	hargrave 2016-03-07 17:40:19	1.82E-07	9.24E-08	2.33E-08	3.49E-08	8	273	SS20-4a_LP-DIR-T-72	LT-T-Z:LP-DIR-T	g	72	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	7	648							
	This study		3.4	257.1	18.8	SS20-4a_LP-DIR-T	hargrave 2016-03-08 13:40:39	1.74E-07	1.71E-07	4.04E-08	3.13E-08	8	273	SS20-4a_LP-DIR-T-73	LT-T-Z:LP-DIR-T	g	73	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	8	673							
	This study		1.5	257	18	SS20-4a_LP-DIR-T	hargrave 2016-03-14 10:57:09	1.64E-07	6.95E-08	2.39E-08	2.77E-08	8	273	SS20-4a_LP-DIR-T-74	LT-T-Z:LP-DIR-T	g	74	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	9	698							
	This study		4.2	255.3	17.7	SS20-4a_LP-DIR-T	hargrave 2016-03-14 18:58:32	1.56E-07	1.88E-07	5.91E-08	3.15E-08	8	273	SS20-4a_LP-DIR-T-75	LT-T-Z:LP-DIR-T	g	75	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	1	723							
	This study		2.7	259.3	17.6	SS20-4a_LP-DIR-T	hargrave 2016-03-15 14:39:29	1.39E-07	1.10E-07	2.49E-08	2.41E-08	8	273	SS20-4a_LP-DIR-T-76	LT-T-Z:LP-DIR-T	g	76	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	11	748							
	This study		2.8	259.1	18.8	SS20-4a_LP-DIR-T	hargrave 2016-03-25 13:26:10	1.15E-07	9.39E-08	1.94E-08	1.84E-08	8	273	SS20-4a_LP-DIR-T-77	LT-T-Z:LP-DIR-T	g	77	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	12	773							
	This study		2	260	17.4	SS20-4a_LP-DIR-T	hargrave 2016-03-27 12:46:52	1.08E-07	6.11E-08	1.30E-08	1.73E-08	8	273	SS20-4a_LP-DIR-T-78	LT-T-Z:LP-DIR-T	g	78	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	13	788							
	This study		0.8	260.2	16.7	SS20-4a_LP-DIR-T	hargrave 2016-03-28 09:41:42	8.76E-08	1.64E-08	2.37E-08	1.53E-08	8	273	SS20-4a_LP-DIR-T-79	LT-T-Z:LP-DIR-T	g	79	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	14	803							
	This study		1.3	262.9	16.1	SS20-4a_LP-DIR-T	hargrave 2016-03-28 19:03:51	5.96E-08	2.15E-08	1.07E-08	1.04E-08	8	273	SS20-4a_LP-DIR-T-80	LT-T-Z:LP-DIR-T	g	8	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	15	813							
	This study		1.2	254.4	19.3	SS20-4a_LP-DIR-T	hargrave 2016-03-29 16:06:43	3.96E-08	1.01E-08	6.02E-09	9.05E-09	8	273	SS20-4a_LP-DIR-T-81	LT-T-Z:LP-DIR-T	g	81	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	16	823							
	This study		3.2	262.8	19.7	SS20-4a_LP-DIR-T	hargrave 2016-03-30 13:23:22	2.42E-08	2.12E-08	6.91E-09	8.60E-09	8	273	SS20-4a_LP-DIR-T-82	LT-T-Z:LP-DIR-T	g	82	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	17	833							
	This study		3.8	269.5	25.4	SS20-4a_LP-DIR-T	hargrave 2016-04-04 15:00:26	1.05E-08	7.18E-09	9.12E-09	6.65E-09	8	273	SS20-4a_LP-DIR-T-83	LT-T-Z:LP-DIR-T	g	83	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	18	843							
	This study		9.2	305.9	19.9	SS20-4a_LP-DIR-T	hargrave 2016-04-05 12:23:56	4.59E-09	1.95E-09	1.55E-08	4.31E-09	8	273	SS20-4a_LP-DIR-T-84	LT-T-Z:LP-DIR-T	g	84	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	19	848							
	This study		8.8	241.5	17.2	SS20-4a_LP-DIR-T	hargrave 2016-04-05 20:01:59	4.23E-09	4.04E-09	8.93E-09	7.02E-09	8	273	SS20-4a_LP-DIR-T-85	LT-T-Z:LP-DIR-T	g	85	pmagpy-4.2.109	SS20-4a	u	0	0	0	0	2	853							
	This study		2.6	122.4	10.8	SS20-5a_LP-DIR-T	hargrave 2016-02-18 11:33:30	1.42E-06	7.70E-07	5.11E-07	2.29E-07	8	273	SS20-5a_LP-DIR-T-86	LT-NO:LP-DIR-T	g	86	pmagpy-4.2.109	SS20-5a	u	0	0	0	0		273							
	This study		1.4	121.6	7.2	SS20-5a_LP-DIR-T	hargrave 2016-02-21 12:34:57	1.08E-06	1.23E-06	1.33E-06	2.74E-07	8	273	SS20-5a_LP-DIR-T-87	LT-LT-Z:LP-DIR-T	g	87	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	1	77							
	This study		2.9	121.3	6.2	SS20-5a_LP-DIR-T	hargrave 2016-02-22 19:52:40	1.18E-06	7.11E-07	4.52E-07	2.03E-07	8	273	SS20-5a_LP-DIR-T-88	LT-T-Z:LP-DIR-T	g	88	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	2	373							
	This study		2.5	118.6	6.6	SS20-5a_LP-DIR-T	hargrave 2016-02-23 19:38:41	1.16E-06	6.32E-07	3.37E-07	1.92E-07	8	273	SS20-5a_LP-DIR-T-89	LT-T-Z:LP-DIR-T	g	89	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	3	473							
	This study		2.6	117.9	5.6	SS20-5a_LP-DIR-T	hargrave 2016-02-27 17:49:26	1.15E-06	6.51E-07	3.54E-07	1.61E-07	8	273	SS20-5a_LP-DIR-T-90	LT-T-Z:LP-DIR-T	g	9	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	4	573							
	This study		2.6	116.8	5.1	SS20-5a_LP-DIR-T	hargrave 2016-02-29 19:17:31	1.13E-06	6.55E-07	3.10E-07	1.55E-07	8	273	SS20-5a_LP-DIR-T-91	LT-T-Z:LP-DIR-T	g	91	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	5	598							
	This study		1.8	117.6	5.6	SS20-5a_LP-DIR-T	hargrave 2016-03-01 17:46:25	1.12E-06	4.42E-07	2.26E-07	1.82E-07	8	273	SS20-5a_LP-DIR-T-92	LT-T-Z:LP-DIR-T	g	92	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	6	623							
	This study		4	116.2	5.1	SS20-5a_LP-DIR-T	hargrave 2016-03-07 17:43:06	1.10E-06	1.01E-06	4.94E-07	1.89E-07	8	273	SS20-5a_LP-DIR-T-93	LT-T-Z:LP-DIR-T	g	93	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	7	648							
	This study		0.9	119.9	4.6	SS20-5a_LP-DIR-T	hargrave 2016-03-08 13:42:07	1.09E-06	1.74E-07	6.57E-08	1.68E-07	8	273	SS20-5a_LP-DIR-T-94	LT-T-Z:LP-DIR-T	g	94	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	8	673							
	This study		3.6	115.6	4.6	SS20-5a_LP-DIR-T	hargrave 2016-03-14 10:58:37	1.06E-06	9.06E-07	3.02E-07	1.60E-07	8	273	SS20-5a_LP-DIR-T-95	LT-T-Z:LP-DIR-T	g	95	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	9	698							
	This study		2.2	117.3	4.6	SS20-5a_LP-DIR-T	hargrave 2016-03-14 18:59:59	1.04E-06	4.96E-07	2.34E-07	1.74E-07	8	273	SS20-5a_LP-DIR-T-96	LT-T-Z:LP-DIR-T	g	96	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	1	723							
	This study		3.2	115.6	4.3	SS20-5a_LP-DIR-T	hargrave 2016-03-15 14:40:57	1.01E-06	7.35E-07	3.18E-07	1.60E-07	8	273	SS20-5a_LP-DIR-T-97	LT-T-Z:LP-DIR-T	g	97	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	11	748							
	This study		1.2	114.8	4.4	SS20-5a_LP-DIR-T	hargrave 2016-03-25 13:27:37	9.52E-07	2.32E-07	8.74E-08	1.47E-07	8	273	SS20-5a_LP-DIR-T-98	LT-T-Z:LP-DIR-T	g	98	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	12	773							
	This study		1.2	116.8	4.5	SS20-5a_LP-DIR-T	hargrave 2016-03-27 12:48:19	9.21E-07	2.21E-07	8.72E-08	1.59E-07	8	273	SS20-5a_LP-DIR-T-99	LT-T-Z:LP-DIR-T	g	99	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	13	788							
	This study		1.2	117.2	4.3	SS20-5a_LP-DIR-T	hargrave 2016-03-28 09:43:09	8.32E-07	1.86E-07	8.16E-08	1.53E-07	8	273	SS20-5a_LP-DIR-T-100	LT-T-Z:LP-DIR-T	g	1	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	14	803							
	This study		0.9	117.2	4.4	SS20-5a_LP-DIR-T	hargrave 2016-03-28 19:06:08	7.23E-07	9.73E-08	3.55E-08	1.36E-07	8	273	SS20-5a_LP-DIR-T-101	LT-T-Z:LP-DIR-T	g	101	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	15	813							
	This study		1.6	116.6	4.5	SS20-5a_LP-DIR-T	hargrave 2016-03-29 16:09:00	5.36E-07	1.75E-07	7.72E-08	1.01E-07	8	273	SS20-5a_LP-DIR-T-102	LT-T-Z:LP-DIR-T	g	102	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	16	823							
	This study		1.8	117.4	4.9	SS20-5a_LP-DIR-T	hargrave 2016-03-30 13:24:54	2.92E-07	1.12E-07	6.18E-08	4.27E-08	8	273	SS20-5a_LP-DIR-T-103	LT-T-Z:LP-DIR-T	g	103	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	17	833							
	This study		0.8	116.3	4.9	SS20-5a_LP-DIR-T	hargrave 2016-04-04 15:01:54	1.15E-07	1.72E-08	6.54E-09	1.71E-08	8	273	SS20-5a_LP-DIR-T-104	LT-T-Z:LP-DIR-T	g	104	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	18	843							
	This study		0.8	112.3	4.4	SS20-5a_LP-DIR-T	hargrave 2016-04-05 12:25:23	5.92E-08	1.12E-08	8.64E-09	8.53E-09	8	273	SS20-5a_LP-DIR-T-105	LT-T-Z:LP-DIR-T	g	105	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	19	848							
	This study		1.3	116.7	4.9	SS20-5a_LP-DIR-T	hargrave 2016-04-05 20:03:26	4.40E-08	1.52E-08	1.97E-09	7.60E-09	8	273	SS20-5a_LP-DIR-T-106	LT-T-Z:LP-DIR-T	g	106	pmagpy-4.2.109	SS20-5a	u	0	0	0	0	2	853							
	This study		4	119.4	9.3	SS20-6a_LP-DIR-T	hargrave 2016-02-18 11:37:15	1.39E-06	1.36E-06	7.65E-07	2.11E-07	8	273	SS20-6a_LP-DIR-T-107	LT-NO:LP-DIR-T	g	107	pmagpy-4.2.109	SS20-6a	u	0	0	0	0		273							
	This study		2.8	120.5	6.9	SS20-6a_LP-DIR-T	hargrave 2016-02-21 12:39:41	1.22E-06	8.11E-07	4.62E-07	2.18E-07	8	273	SS20-6a_LP-DIR-T-108	LT-LT-Z:LP-DIR-T	g	108	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	1	77							
	This study		3.9	116.3	5.9	SS20-6a_LP-DIR-T	hargrave 2016-02-22 19:56:32	1.20E-06	1.18E-06	5.54E-07	2.37E-07	8	273	SS20-6a_LP-DIR-T-109	LT-T-Z:LP-DIR-T	g	109	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	2	373							
	This study		2.6	114.3	4.9	SS20-6a_LP-DIR-T	hargrave 2016-02-23 19:40:07	1.16E-06	7.40E-07	3.07E-07	2.72E-07	8	273	SS20-6a_LP-DIR-T-110	LT-T-Z:LP-DIR-T	g	11	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	3	473							
	This study		3.1	115.1	4.3	SS20-6a_LP-DIR-T	hargrave 2016-02-27 17:51:00	1.14E-06	8.90E-07	3.94E-07	2.31E-07	8	273	SS20-6a_LP-DIR-T-111	LT-T-Z:LP-DIR-T	g	111	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	4	573							
	This study		3.8	111.8	3.7	SS20-6a_LP-DIR-T	hargrave 2016-02-29 19:22:12	1.13E-06	1.12E-06	4.27E-07	1.76E-07	8	273	SS20-6a_LP-DIR-T-112	LT-T-Z:LP-DIR-T	g	112	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	5	598							
	This study		2	113.6	4.1	SS20-6a_LP-DIR-T	hargrave 2016-03-01 17:47:53	1.11E-06	5.44E-07	2.16E-07	2.45E-07	8	273	SS20-6a_LP-DIR-T-113	LT-T-Z:LP-DIR-T	g	113	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	6	623							
	This study		3.6	112.2	3.6	SS20-6a_LP-DIR-T	hargrave 2016-03-07 17:47:01	1.08E-06	9.89E-07	3.84E-07	1.87E-07	8	273	SS20-6a_LP-DIR-T-114	LT-T-Z:LP-DIR-T	g	114	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	7	648							
	This study		1.3	115.2	3.9	SS20-6a_LP-DIR-T	hargrave 2016-03-08 13:43:35	1.07E-06	2.71E-07	1.39E-07	2.29E-07	8	273	SS20-6a_LP-DIR-T-115	LT-T-Z:LP-DIR-T	g	115	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	8	673							
	This study		2.1	112.9	3.6	SS20-6a_LP-DIR-T	hargrave 2016-03-14 11:00:05	1.04E-06	5.83E-07	1.05E-07	2.05E-07	8	273	SS20-6a_LP-DIR-T-116	LT-T-Z:LP-DIR-T	g	116	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	9	698							
	This study		1.3	112.4	3.7	SS20-6a_LP-DIR-T	hargrave 2016-03-14 19:01:27	1.00E-06	2.76E-07	8.58E-08	2.06E-07	8	273	SS20-6a_LP-DIR-T-117	LT-T-Z:LP-DIR-T	g	117	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	1	723							
	This study		3.5	112.6	3.4	SS20-6a_LP-DIR-T	hargrave 2016-03-15 14:43:16	9.73E-07	8.72E-07	3.32E-07	2.03E-07	8	273	SS20-6a_LP-DIR-T-118	LT-T-Z:LP-DIR-T	g	118	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	11	748							
	This study		1.8	111.5	3.4	SS20-6a_LP-DIR-T	hargrave 2016-03-25 13:29:05	9.21E-07	4.17E-07	1.32E-07	1.92E-07	8	273	SS20-6a_LP-DIR-T-119	LT-T-Z:LP-DIR-T	g	119	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	12	773							
	This study		2.1	112.7	3.5	SS20-6a_LP-DIR-T	hargrave 2016-03-27 12:49:47	8.87E-07	4.49E-07	1.65E-07	1.79E-07	8	273	SS20-6a_LP-DIR-T-120	LT-T-Z:LP-DIR-T	g	12	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	13	788							
	This study		1.1	113.6	3.5	SS20-6a_LP-DIR-T	hargrave 2016-03-28 09:44:42	8.03E-07	1.62E-07	5.58E-08	1.80E-07	8	273	SS20-6a_LP-DIR-T-121	LT-T-Z:LP-DIR-T	g	121	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	14	803							
	This study		1.4	113.4	3.6	SS20-6a_LP-DIR-T	hargrave 2016-03-28 19:08:28	6.96E-07	1.93E-07	9.32E-08	1.60E-07	8	273	SS20-6a_LP-DIR-T-122	LT-T-Z:LP-DIR-T	g	122	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	15	813							
	This study		2	112.9	3.5	SS20-6a_LP-DIR-T	hargrave 2016-03-29 16:10:29	5.27E-07	2.55E-07	8.48E-08	1.16E-07	8	273	SS20-6a_LP-DIR-T-123	LT-T-Z:LP-DIR-T	g	123	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	16	823							
	This study		3.3	113.3	4.3	SS20-6a_LP-DIR-T	hargrave 2016-03-30 13:26:26	3.09E-07	2.58E-07	1.19E-07	5.74E-08	8	273	SS20-6a_LP-DIR-T-124	LT-T-Z:LP-DIR-T	g	124	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	17	833							
	This study		1.7	114.4	3.5	SS20-6a_LP-DIR-T	hargrave 2016-04-04 15:03:22	1.52E-07	6.48E-08	1.55E-08	3.08E-08	8	273	SS20-6a_LP-DIR-T-125	LT-T-Z:LP-DIR-T	g	125	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	18	843							
	This study		1.5	110.2	3.2	SS20-6a_LP-DIR-T	hargrave 2016-04-05 12:26:52	8.23E-08	3.10E-08	2.63E-09	1.64E-08	8	273	SS20-6a_LP-DIR-T-126	LT-T-Z:LP-DIR-T	g	126	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	19	848							
	This study		1.4	114	3.1	SS20-6a_LP-DIR-T	hargrave 2016-04-05 20:05:42	6.55E-08	2.45E-08	3.64E-09	1.16E-08	8	273	SS20-6a_LP-DIR-T-127	LT-T-Z:LP-DIR-T	g	127	pmagpy-4.2.109	SS20-6a	u	0	0	0	0	2	853							
	This study		3.1	46.8	39.9	SS20-7a_LP-DIR-T	hargrave 2016-02-18 11:38:48	1.46E-06	8.28E-07	9.28E-07	2.50E-07	8	273	SS20-7a_LP-DIR-T-128	LT-NO:LP-DIR-T	g	128	pmagpy-4.2.109	SS20-7a	u	0	0	0	0		273							
	This study		1.3	44.1	35	SS20-7a_LP-DIR-T	hargrave 2016-02-21 12:41:14	1.27E-06	2.86E-07	2.93E-07	2.01E-07	8	273	SS20-7a_LP-DIR-T-129	LT-LT-Z:LP-DIR-T	g	129	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	1	77							
	This study		2.1	40.6	34	SS20-7a_LP-DIR-T	hargrave 2016-02-22 19:58:06	1.25E-06	4.39E-07	5.49E-07	2.20E-07	8	273	SS20-7a_LP-DIR-T-130	LT-T-Z:LP-DIR-T	g	13	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	2	373							
	This study		2.2	40.4	31.6	SS20-7a_LP-DIR-T	hargrave 2016-02-23 19:42:24	1.22E-06	5.16E-07	5.08E-07	2.13E-07	8	273	SS20-7a_LP-DIR-T-131	LT-T-Z:LP-DIR-T	g	131	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	3	473							
	This study		2.2	39.3	31.3	SS20-7a_LP-DIR-T	hargrave 2016-02-27 17:52:28	1.20E-06	5.28E-07	4.89E-07	2.13E-07	8	273	SS20-7a_LP-DIR-T-132	LT-T-Z:LP-DIR-T	g	132	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	4	573							
	This study		2.9	37.1	30.5	SS20-7a_LP-DIR-T	hargrave 2016-02-29 19:23:44	1.19E-06	5.76E-07	7.41E-07	1.71E-07	8	273	SS20-7a_LP-DIR-T-133	LT-T-Z:LP-DIR-T	g	133	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	5	598							
	This study		1.7	38.6	30.1	SS20-7a_LP-DIR-T	hargrave 2016-03-01 17:50:10	1.17E-06	3.77E-07	3.74E-07	1.72E-07	8	273	SS20-7a_LP-DIR-T-134	LT-T-Z:LP-DIR-T	g	134	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	6	623							
	This study		1.9	38.1	29.9	SS20-7a_LP-DIR-T	hargrave 2016-03-07 17:48:35	1.16E-06	4.04E-07	4.33E-07	1.82E-07	8	273	SS20-7a_LP-DIR-T-135	LT-T-Z:LP-DIR-T	g	135	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	7	648							
	This study		2.4	39.2	29.7	SS20-7a_LP-DIR-T	hargrave 2016-03-08 13:45:03	1.14E-06	5.49E-07	4.87E-07	2.16E-07	8	273	SS20-7a_LP-DIR-T-136	LT-T-Z:LP-DIR-T	g	136	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	8	673							
	This study		2.8	39.9	29.7	SS20-7a_LP-DIR-T	hargrave 2016-03-14 11:01:33	1.12E-06	6.31E-07	6.02E-07	2.07E-07	8	273	SS20-7a_LP-DIR-T-137	LT-T-Z:LP-DIR-T	g	137	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	9	698							
	This study		1.7	38.5	29.4	SS20-7a_LP-DIR-T	hargrave 2016-03-14 19:02:54	1.08E-06	3.76E-07	3.07E-07	2.05E-07	8	273	SS20-7a_LP-DIR-T-138	LT-T-Z:LP-DIR-T	g	138	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	1	723							
	This study		3	37.9	29.2	SS20-7a_LP-DIR-T	hargrave 2016-03-15 14:44:45	1.05E-06	6.01E-07	6.53E-07	1.81E-07	8	273	SS20-7a_LP-DIR-T-139	LT-T-Z:LP-DIR-T	g	139	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	11	748							
	This study		2.2	39.1	29.1	SS20-7a_LP-DIR-T	hargrave 2016-03-25 13:30:33	9.87E-07	4.24E-07	3.88E-07	1.89E-07	8	273	SS20-7a_LP-DIR-T-140	LT-T-Z:LP-DIR-T	g	14	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	12	773							
	This study		1.8	37.8	29.2	SS20-7a_LP-DIR-T	hargrave 2016-03-27 12:51:15	9.55E-07	3.56E-07	2.72E-07	1.97E-07	8	273	SS20-7a_LP-DIR-T-141	LT-T-Z:LP-DIR-T	g	141	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	13	788							
	This study		1.5	38.8	29	SS20-7a_LP-DIR-T	hargrave 2016-03-28 09:47:01	8.69E-07	2.60E-07	1.77E-07	1.85E-07	8	273	SS20-7a_LP-DIR-T-142	LT-T-Z:LP-DIR-T	g	142	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	14	803							
	This study		1.9	36.6	28.9	SS20-7a_LP-DIR-T	hargrave 2016-03-28 19:09:56	7.68E-07	2.95E-07	2.56E-07	1.70E-07	8	273	SS20-7a_LP-DIR-T-143	LT-T-Z:LP-DIR-T	g	143	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	15	813							
	This study		1.3	37.8	28.7	SS20-7a_LP-DIR-T	hargrave 2016-03-29 16:11:56	6.22E-07	1.53E-07	1.06E-07	1.37E-07	8	273	SS20-7a_LP-DIR-T-144	LT-T-Z:LP-DIR-T	g	144	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	16	823							
	This study		1	40.3	29	SS20-7a_LP-DIR-T	hargrave 2016-03-30 13:27:54	3.76E-07	7.09E-08	5.99E-08	6.73E-08	8	273	SS20-7a_LP-DIR-T-145	LT-T-Z:LP-DIR-T	g	145	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	17	833							
	This study		2.1	35.9	27.8	SS20-7a_LP-DIR-T	hargrave 2016-04-04 15:04:51	1.57E-07	6.39E-08	6.24E-08	3.44E-08	8	273	SS20-7a_LP-DIR-T-146	LT-T-Z:LP-DIR-T	g	146	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	18	843							
	This study		2.3	37.1	26.5	SS20-7a_LP-DIR-T	hargrave 2016-04-05 12:28:20	7.82E-08	3.12E-08	3.63E-08	1.53E-08	8	273	SS20-7a_LP-DIR-T-147	LT-T-Z:LP-DIR-T	g	147	pmagpy-4.2.109	SS20-7a	u	0	0	0	0	19	848							
